brand,model,2G_bands,3G_bands,4G_bands,weight_g,SIM,display_size(inches),Pixel_height,Pixel_width,OS,CPU(core),internal_memory(GB),RAM(GB),primary_camera(MP),secondary_camera(MP),audio_jack,WIFI,bluetooth,GPS,radio,Battery(Mah),Aprox Price INR
Acer,Liquid Z3,Yes,Yes,No,120,Single,3.5,320,480,Android,2,4,1,3.15,0,Yes,Yes,Yes,Yes,Yes,160,8000
Acer,Liquid S1,Yes,Yes,No,195,Single,5.7,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2400,25600
Acer,Iconia Tab A3,Yes,Yes,No,560,Micro,10.1,800,1280,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,7300,15200
Acer,Iconia Tab A1-811,Yes,Yes,No,430,Yes,7.9,768,1024,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,No,4960,12000
Acer,Iconia Tab A1-810, N/A,No,No,410,No,7.9,768,1024,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,No,4960,9600
Acer,Liquid E2,Yes,Yes,No,140,Single,4.5,540,960,Android,4,4,1,8,2,Yes,Yes,Yes,Yes,Yes,145,14400
Acer,Liquid Z2,Yes,Yes,No,110,Single,3.5,320,480,Android,1,4,1,3,0,Yes,Yes,Yes,Yes,Yes,1300,8000
Acer,Liquid C1,Yes,Yes,No,140,Mini,4.3,540,960,Android,1,4,1,8,1,Yes,Yes,Yes,Yes,Yes,145,14400
Acer,Liquid E1,Yes,Yes,No,130,Single,4.5,540,960,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1760,13600
Acer,Iconia Tab B1-710, N/A,No,No,339.9,No,7,600,1024,Android,2,8,1,1,0,Yes,Yes,Yes,Yes,No,2640,8800
Acer,Iconia Tab B1-A71, N/A,No,No,320,No,7,600,1024,Android,2,8,1,1,0,Yes,Yes,Yes,Yes,No,2710,8000
Acer,Iconia Tab A110, N/A,No,No,390,No,7,600,1024,Android,4,8,1,2,0,Yes,Yes,Yes,Yes,No,3420,12000
Acer,Liquid Z110,Yes,Yes,No,100,Dual,3.5,320,480,Android,1,4,1,3.15,0,Yes,Yes,Yes,Yes,Yes,1300,8000
Acer,Liquid Gallant E350,Yes,Yes,No,145,Mini,4.3,540,960,Android,1,4,1,5,0,Yes,Yes,Yes,Yes,Yes,160,12800
Acer,Liquid Gallant Duo,Yes,Yes,No,145,Dual,4.3,540,960,Android,1,4,1,5,0,Yes,Yes,Yes,Yes,Yes,160,11200
Acer,Liquid Glow E330,Yes,Yes,No,125,Mini,3.7,480,800,Android,1,1,1,5,0,Yes,Yes,Yes,Yes,Yes,1300,9600
Acer,CloudMobile S500,Yes,Yes,No,110,Micro,4.3,720,1280,Android,2,8,1,8,1,Yes,Yes,Yes,Yes,Yes,1460,17600
Acer,Iconia Tab A210, N/A,No,No,685,No,10.1,800,1280,Android,4,8,1,2,0,Yes,Yes,Yes,Yes,No,3260,20800
Acer,Iconia Tab A200, N/A,No,No,700,No,10.1,800,1280,Android,2,8,1,2,0,Yes,Yes,Yes,Yes,No,3260,16000
Acer,Iconia Tab A701,Yes,Yes,No,667,Mini,10.1,1920,120,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,9800,30400
Acer,Iconia Tab A700, N/A,No,No,665,No,10.1,1920,120,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,9800,18400
Acer,Iconia Tab A511,Yes,Yes,No,777,Mini,10.1,1280,800,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,9800,20000
Acer,Iconia Tab A510, N/A,No,No,680,No,10.1,1280,800,Android,4,16,1,5,1,Yes,Yes,Yes,Yes,No,9800,18400
Acer,Allegro,Yes,Yes,No,126,Mini,3.6,480,800,Microsoft,1,8,0,5,0,Yes,Yes,Yes,Yes,No,1300,11200
Acer,Liquid Express E320,Yes,Yes,No,138,Mini,3.5,320,480,Android,1,1,1,5,0,Yes,Yes,Yes,Yes,Yes,1000,7200
Acer,Iconia Tab A501,Yes,Yes,No,777,Mini,10.1,800,1280,Android,2,16,1,5,2,Yes,Yes,Yes,Yes,No,3260,39200
Acer,Iconia Smart,Yes,Yes,No,185,Mini,4.8,480,1024,Android,1,8,1,8,2,Yes,Yes,Yes,Yes,Yes,160,17600
Acer,Iconia Tab A500, N/A,No,No,730,No,10.1,800,1280,Android,2,16,1,5,2,Yes,Yes,Yes,Yes,No,3260,16000
Acer,Iconia Tab A101,Yes,Yes,No,470,Mini,7,600,1024,Android,2,8,1,5,2,Yes,Yes,Yes,Yes,No,1530,20800
Acer,Iconia Tab A100, N/A,No,No,450,No,7,600,1024,Android,2,8,1,5,2,Yes,Yes,Yes,Yes,No,1530,8000
Acer,Liquid mini E310,Yes,Yes,No,108,Mini,3.2,320,480,Android,1,1,1,5,0,Yes,Yes,Yes,Yes,Yes,1300,9600
Acer,beTouch E210,Yes,Yes,No,109,Mini,2.6,320,240,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,1300,12000
Acer,beTouch E140,Yes,Yes,No,95,Mini,2.8,240,320,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,1300,8800
Acer,beTouch T500,Yes,No,No,130,Mini,3.2,320,480,Android-based,1,1,256,3.15,0,No,Yes,Yes,Yes,No,160,5600
Acer,Liquid mt,Yes,Yes,No,135,Mini,3.6,480,800,Android,1,1,1,5,0,Yes,Yes,Yes,Yes,No,160,5600
Acer,beTouch E130,Yes,Yes,No,109,Mini,2.6,320,240,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,160,7200
Acer,beTouch E120,Yes,Yes,No,105,Mini,2.8,240,320,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,160,5600
Acer,Stream,Yes,Yes,No,140,Mini,3.7,480,800,Android,1,2,1,5,0,Yes,Yes,Yes,Yes,Yes,1400,10400
Acer,Liquid E,Yes,Yes,No,135,Mini,3.5,480,800,Android,1,1,1,5,0,Yes,Yes,Yes,Yes,No,1350,7200
Acer,neoTouch P400,Yes,Yes,No,125,Mini,3.2,320,480,Microsoft,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,1090,8000
Acer,beTouch E400,Yes,Yes,No,125,Mini,3.2,320,480,Android,1,1,256,3.15,0,Yes,Yes,Yes,Yes,Yes,1090,6400
Acer,neoTouch P300,Yes,Yes,No,130.6,Mini,3.2,240,400,Microsoft,1,1,256,3.15,0,Yes,Yes,Yes,Yes,No,970,6400
Acer,beTouch E110,Yes,Yes,No,105,Mini,2.8,240,320,Android,1,1,256,3.15,0,Yes,No,Yes,Yes,Yes,160,5600
Acer,Liquid,Yes,Yes,No,135,Mini,3.5,480,800,Android,1,1,256,5,0,Yes,Yes,Yes,Yes,No,1350,7200
Acer,neoTouch,Yes,Yes,No,130,Mini,3.8,480,800,Microsoft,1,1,256,5,0,Yes,Yes,Yes,Yes,Yes,1350,16800
Acer,beTouch E200,Yes,Yes,No,146,Mini,3,240,400,Microsoft,1,1,256,3.15,0,No,No,Yes,Yes,No,1140,15200
Acer,beTouch E100,Yes,Yes,No,118,Mini,3.2,240,400,Microsoft,1,1,256,2,0,No,No,Yes,Yes,No,1140,14400
Acer,beTouch E101,Yes,No,No,118,Mini,3.2,240,400,Microsoft,1,1,256,2,0,No,No,Yes,Yes,No,1140,13600
Acer,DX650,Yes,No,No,133,Mini,2.8,240,320,Microsoft,1,0,0,2,0,No,Yes,Yes,Yes,Yes,1260,12000
Acer,M900,Yes,Yes,No,188,Mini,3.8,480,800,Microsoft,1,0,0,5,1,No,Yes,Yes,Yes,Yes,1530,20000
Acer,F900,Yes,Yes,No,150,Mini,3.8,480,800,Microsoft,1,1,128,3.15,0,No,Yes,Yes,Yes,Yes,1530,16800
Acer,X960,Yes,Yes,No,131.5,Mini,2.8,480,640,Microsoft,1,1,128,3.15,1,No,Yes,Yes,Yes,No,1530,21600
Acer,DX900,Yes,Yes,No,147,Dual,2.8,480,640,Microsoft,1,1,128,3.15,1,No,Yes,Yes,Yes,No,1530,7200
alcatel,Flash (2017),Yes,Yes,Yes,155,Dual,5.5,1080,1920,Android,10,32,3,1,1,Yes,Yes,Yes,Yes,Yes,3100,9600
alcatel,U5,Yes,Yes,Yes,110,Single,5,480,854,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,2050,9600
alcatel,A5 LED,Yes,Yes,Yes,110,Single,5.2,720,1280,Android,8,16,2,8,5,Yes,Yes,Yes,Yes,Yes,2800,16000
alcatel,A3,Yes,Yes,Yes,110,Single,5,720,1280,Android,4,16,1.5,13,5,Yes,Yes,Yes,Yes,Yes,2460,9600
alcatel,A3 XL,Yes,Yes,Yes,110,Single,6,720,1280,Android,4,16,2,8,5,Yes,Yes,Yes,Yes,Yes,3000,9600
alcatel,Shine Lite,Yes,Yes,Yes,156,Single,5,720,1280,Android,4,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2460,16000
alcatel,Pixi 4 Plus Power,Yes,Yes,No,202,Dual,5.5,720,1280,Android,1,8,1,8,5,Yes,Yes,Yes,Yes,Yes,5000,9600
alcatel,Fierce 4,Yes,Yes,Yes,163.9,Nano,5.5,720,1280,Android,4,16,2,8,5,Yes,Yes,Yes,Yes,Yes,2500,6400
alcatel,X1,Yes,Yes,Yes,140,Dual,5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2150,20000
alcatel,Pixi 4 (5),Yes,Yes,No,148,Micro,5,480,854,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,4800
alcatel,Flash Plus 2,Yes,Yes,Yes,157,Dual,5.5,1080,1920,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3000,11200
alcatel,POP 7 LTE,Yes,Yes,Yes,295.1,Micro,7,600,1024,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,No,3240,10400
alcatel,Pop 4S,Yes,Yes,Yes,110,Single,5.5,1080,1920,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,2960,12000
alcatel,Pop 4+,Yes,Yes,Yes,110,Single,5.5,720,1280,Android,4,16,1.5,8,5,Yes,Yes,Yes,Yes,Yes,2500,8800
alcatel,Pop 4,Yes,Yes,Yes,110,Single,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2500,6400
alcatel,Idol 4s Windows,Yes,Yes,Yes,152,Nano,5.5,1080,1920,Microsoft,4,64,4,21,8,Yes,Yes,Yes,Yes,No,3000,35200
alcatel,Idol 4s,Yes,Yes,Yes,149,Dual,5.5,1440,2560,Android,8,32,3,16,8,Yes,Yes,Yes,Yes,Yes,3000,28000
alcatel,Idol 4,Yes,Yes,Yes,135,Dual,5.2,1080,1920,Android,8,16,2,13,8,Yes,Yes,Yes,Yes,Yes,2610,20000
alcatel,Fierce XL (Windows),Yes,Yes,Yes,174,Micro,5.5,720,1280,Microsoft,4,16,2,8,2,Yes,Yes,Yes,Yes,Yes,2500,9600
alcatel,CareTime,Yes,No,No,110,Yes,0.95,96,64,Nucleus,1,0,0,0,0,No,Yes,Yes,Yes,No,380,9600
alcatel,Pixi 4 (7),Yes,Yes,No,110,Micro,7,600,1024,Android,4,8,1,2,1,Yes,Yes,Yes,Yes,Yes,2580,6400
alcatel,Pixi 4 (6) 3G,Yes,Yes,No,179,Dual,6,540,960,Android,4,8,1,13,8,Yes,Yes,Yes,Yes,Yes,2580,9600
alcatel,Pixi 4 (6),Yes,Yes,Yes,110,Micro,6,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2580,8000
alcatel,Pixi 4 (4),Yes,Yes,No,110,Micro,4,480,800,Android,4,4,1,2,1,Yes,Yes,Yes,Yes,Yes,160,4800
alcatel,Pixi 4 (3.5),Yes,Yes,No,110,Micro,3.5,320,480,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,1300,9600
alcatel,Pixi 3 (8) LTE,Yes,Yes,Yes,110,Micro,8,800,1280,Microsoft,4,8,1,5,2,Yes,Yes,Yes,Yes,No,4060,9600
alcatel,Pop 3 (5.5),Yes,Yes,Yes,174,Single,5.5,720,1280,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,No,2500,9600
alcatel,Pop 3 (5),Yes,Yes,Yes,167,Single,5,480,854,Android,4,8,1,5,5,Yes,Yes,Yes,Yes,No,145,8800
alcatel,Fierce XL,Yes,Yes,Yes,173,Micro,5.5,720,1280,Android,4,16,2,8,2,Yes,Yes,Yes,Yes,Yes,2500,10400
alcatel,Watch, N/A,No,No,110,No,1.22,240,204,Proprietary,1,0,8,0,0,No,No,Yes,No,No,210,8800
alcatel,GO Watch, N/A,No,No,110,No,1.22,240,204,Proprietary,1,0,8,0,0,No,No,Yes,No,No,225,9600
alcatel,Flash 2,Yes,Yes,Yes,140,Dual,5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,3000,18400
alcatel,10.16G,Yes,No,No,63,Mini,1.8,100,11,No,1,4,0,0,0,No,No,No,No,Yes,400,1600
alcatel,2007,Yes,No,No,72,Single,2.4,240,320,No,1,0,16,3.15,0,No,No,Yes,No,Yes,750,9600
alcatel,Idol 3C,Yes,Yes,Yes,110,Micro,5.5,1080,1920,Android,8,16,2,13,8,Yes,Yes,Yes,Yes,Yes,2910,9600
alcatel,Pixi 3 (10), N/A,No,No,110,No,10.1,800,1280,Android,4,16,1,5,2,Yes,Yes,Yes,Yes,No,4060,18640
alcatel,Pixi First,Yes,Yes,No,110,Single,4,480,800,Android,4,4,1,5,2,Yes,Yes,Yes,Yes,Yes,115,9600
alcatel,Pop Up,Yes,Yes,Yes,110,Dual,5,720,1280,Android,8,16,2,13,5,Yes,Yes,Yes,Yes,Yes,145,9600
alcatel,Pop Star LTE,Yes,Yes,Yes,110,Single,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,9600
alcatel,Pop Star,Yes,Yes,No,110,Single,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,145,9600
alcatel,Go Play,Yes,Yes,Yes,110,Micro,5,720,1280,Android,4,8,1,8,5,Yes,Yes,Yes,Yes,Yes,2500,9600
alcatel,Flash Plus,Yes,Yes,Yes,147,Dual,5.5,720,1280,Android,8,16,2,13,8,Yes,Yes,Yes,Yes,Yes,3500,10400
alcatel,Pop Astro,Yes,Yes,Yes,144.9,Micro,4.5,540,960,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,10400
alcatel,Flash,Yes,Yes,No,110,Micro,5.5,720,1280,Android,8,8,1,13,5,Yes,Yes,Yes,Yes,Yes,3200,9600
alcatel,Idol 3 (5.5),Yes,Yes,Yes,141,Single,5.5,1080,1920,Android,8,16,2,13,8,Yes,Yes,Yes,Yes,Yes,2910,20000
alcatel,Idol 3 (4.7),Yes,Yes,Yes,110,Single,4.7,720,1280,Android,4,8,1.5,13,5,Yes,Yes,Yes,Yes,Yes,145,16000
alcatel,Orange Klif,Yes,Yes,No,110,Dual,3.5,320,480,Firefox,2,1,256,2,0,Yes,Yes,Yes,Yes,Yes,1300,12800
alcatel,Pixi 3 (5.5) LTE,Yes,Yes,Yes,110,Yes,5.5,720,1280,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,2800,9600
alcatel,Pixi 3 (5.5),Yes,Yes,No,110,Yes,5.5,540,960,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2910,12800
alcatel,Pixi 3 (8) 3G,Yes,Yes,No,335,Micro,8,800,1280,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,No,3240,8000
alcatel,Pixi 3 (7) LTE,Yes,Yes,Yes,260,Yes,7,600,1024,Android,4,4,1,2,1,Yes,Yes,Yes,Yes,No,2820,10400
alcatel,Pixi 3 (7) 3G,Yes,Yes,No,260,Micro,7,600,1024,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,No,2820,8000
alcatel,Pixi 3 (7), N/A,No,No,260,No,7,600,1024,Android,4,4,1,2,1,Yes,Yes,Yes,No,No,2820,6400
alcatel,POP 10,Yes,Yes,Yes,380,Yes,9.6,800,1280,Android,4,8,1,5,2,Yes,Yes,Yes,Yes,Yes,4600,20000
alcatel,Pixi 3 (5),Yes,Yes,Yes,110,Single,5,480,854,Android,2,4,1,5,2,Yes,Yes,Yes,Yes,Yes,1800,6400
alcatel,Pixi 3 (4.5),Yes,Yes,Yes,125,Single,4.5,480,854,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1400,4800
alcatel,Pixi 3 (4),Yes,Yes,Yes,110,Single,4,480,800,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,1400,4000
alcatel,Pixi 3 (3.5) Firefox,Yes,Yes,No,98,Single,3.5,320,480,Firefox,2,1,1,2,1,Yes,Yes,Yes,Yes,Yes,1300,3200
alcatel,Pixi 3 (3.5),Yes,Yes,No,100,Single,3.5,320,480,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,1300,12800
alcatel,Pop D3,Yes,Yes,No,114,Micro,4,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1400,10400
alcatel,Pop D1,Yes,Yes,No,101,Yes,3.5,320,480,Android,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,1300,6400
alcatel,Pop Icon,Yes,Yes,No,149,Yes,5,540,960,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,145,9600
alcatel,Fire C 2G,Yes,No,No,93,Dual,3.5,320,480,Firefox,1,1,128,1.3,1,Yes,Yes,Yes,No,Yes,1000,2400
alcatel,Pop 2 (5) Premium,Yes,Yes,Yes,151,Micro,5,720,1280,Android,4,8,1,8,2,Yes,Yes,Yes,Yes,Yes,2500,12800
alcatel,Pop 2 (5),Yes,Yes,Yes,170,Single,5,480,854,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,2500,12800
alcatel,Pop 2 (4),Yes,Yes,Yes,125,Yes,4,480,800,Android,4,4,1,3.15,1,Yes,Yes,Yes,Yes,Yes,145,12800
alcatel,Pop 2 (4.5) Dual SIM,Yes,Yes,Yes,147,Dual,4.5,480,854,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,145,14400
alcatel,Pop 2 (4.5),Yes,Yes,Yes,147,Micro,4.5,480,854,Android,4,8,1,5,1,Yes,Yes,Yes,Yes,Yes,145,10400
alcatel,Fierce 2,Yes,Yes,No,149.1,Micro,5,540,960,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1000,7200
alcatel,Evolve 2,Yes,Yes,No,121.1,Yes,4,480,800,Android,2,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1400,4800
alcatel,POP 8S,Yes,Yes,Yes,327,Yes,8,800,1280,Android,4,8,1,5,3,Yes,Yes,Yes,Yes,No,4100,20000
alcatel,Hero 8,Yes,Yes,Yes,310,Micro,8,120,1920,Android,8,8,2,5,2,Yes,Yes,Yes,Yes,Yes,4060,22400
alcatel,Hero 2,Yes,Yes,Yes,175,Micro,6,1080,1920,Android,8,16,2,13.1,5,Yes,Yes,Yes,Yes,Yes,3100,36800
alcatel,Pixi 2,Yes,Yes,No,100,Single,3.5,320,480,Android,2,4,1,2,0,Yes,Yes,Yes,Yes,Yes,1300,6400
alcatel,Pop D5,Yes,Yes,No,150,Micro,4.5,480,854,Android,4,4,1,5,1,Yes,Yes,Yes,Yes,Yes,1800,8000
alcatel,Pop C2,Yes,Yes,No,116,Single,4,480,800,Android,2,4,1,3.15,0,Yes,Yes,Yes,Yes,Yes,1300,3200
alcatel,Pixi 8, N/A,No,No,325,No,8,800,1280,Android,1,8,1,1,1,Yes,Yes,No,Yes,No,3240,8000
alcatel,2012,Yes,No,No,98,Single,2.8,240,320,No,1,16,0,3.15,0,Yes,No,Yes,No,Yes,750,4000
alcatel,2010,Yes,No,No,95,Single,2.4,240,320,No,1,1,64,2,0,Yes,No,Yes,No,Yes,750,4000
alcatel,2052,Yes,Yes,No,74,Mini,1.8,128,160,No,1,1,0,1,0,Yes,No,Yes,No,Yes,750,4000
alcatel,2040,Yes,No,No,77.9,Single,2.4,240,320,No,1,4,4,1,0,Yes,No,No,No,Yes,850,2400
alcatel,2005,Yes,No,No,85,Single,2.4,240,320,No,1,1,0,2,0,No,No,Yes,No,Yes,850,1600
alcatel,POP 7S,Yes,Yes,Yes,279,Yes,7,600,1024,Android,4,4,1,3,1,Yes,Yes,Yes,Yes,No,3240,15200
alcatel,Pixi 7, N/A,No,No,285,No,7,540,960,Android,2,4,1,1,1,Yes,Yes,No,No,No,2840,6400
